price,state,zip_code,area,home_status,latitude,longitude,zestimate,time_on_zillow,rent_zestimate,home_type,bedrooms,bathrooms,days_on_zillow,variable_type,variable_text,living_area,tax
3125.0,NY,10065,559,FOR_RENT,40.759743,-73.959372,None,1614996660000,None,MULTI_FAMILY,None,1.0,37,TIME_ON_INFO,37 days ago,559.0,None
3250.0,NY,10065,760,FOR_RENT,40.763216,-73.963087,566255,1614665160000,2250,MULTI_FAMILY,1.0,1.0,41,TIME_ON_INFO,41 days ago,760.0,None
3100.0,NY,10065,563,FOR_RENT,40.761878,-73.96306,620469,1614640560000,3800,MULTI_FAMILY,None,1.0,41,TIME_ON_INFO,41 days ago,563.0,290357.0
3300.0,NY,10065,750,FOR_RENT,40.762363,-73.963031,834485,1612240920000,3500,MULTI_FAMILY,1.0,1.0,69,TIME_ON_INFO,42 days ago,750.0,282602.0
3400.0,NY,10065,None,FOR_RENT,40.763367,-73.963802,517707,1612348080000,2895,MULTI_FAMILY,1.0,1.0,67,OPEN_HOUSE,Open: Sun. 1-2pm,None,None
3395.0,NY,10065,None,FOR_RENT,40.767758,-73.96713,622200,1611987720000,2745,MULTI_FAMILY,1.0,1.0,72,TIME_ON_INFO,72 days ago,None,None
3200.0,NY,10065,850,FOR_RENT,40.76322,-73.966059,591734,1611359520000,3375,MULTI_FAMILY,1.0,1.0,79,TIME_ON_INFO,79 days ago,850.0,None
3300.0,NY,10065,782,FOR_RENT,40.764708,-73.964724,None,1601941140000,3900,MULTI_FAMILY,1.0,1.0,188,TIME_ON_INFO,188 days ago,782.0,228215.0
3295.0,NY,10065,740,FOR_RENT,40.764287,-73.96258,None,1596498480000,3000,MULTI_FAMILY,1.0,1.0,251,TIME_ON_INFO,251 days ago,740.0,252875.0
3782.0,NY,10065,None,FOR_RENT,40.762932,-73.96344,None,1618026660000,None,MULTI_FAMILY,3.0,1.0,2,TIME_ON_INFO,2 days ago,None,None
3600.0,NY,10065,None,FOR_RENT,40.762236,-73.960692,None,1617852600000,2063,MULTI_FAMILY,2.0,1.0,4,TIME_ON_INFO,4 days ago,None,None
3700.0,NY,10065,None,FOR_RENT,40.762738,-73.961034,868048,1617167160000,2995,MULTI_FAMILY,3.0,1.0,12,TIME_ON_INFO,12 days ago,None,None
3650.0,NY,10065,692,FOR_RENT,40.765116,-73.961069,755703,1617115500000,2900,MULTI_FAMILY,1.0,1.0,12,TIME_ON_INFO,12 days ago,692.0,233308.0
3800.0,NY,10065,743,FOR_RENT,40.763603,-73.96212,893868,1617080640000,3500,MULTI_FAMILY,1.0,1.0,13,TIME_ON_INFO,13 days ago,743.0,315188.0
4000.0,NY,10065,1050,FOR_RENT,40.769303,-73.96786,754931,1617058440000,3000,MULTI_FAMILY,1.0,1.0,13,TIME_ON_INFO,13 days ago,1050.0,22414000.0
